SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,St. Bonaventure,A10,30,19,106.6,102.2,0.6205,49.1,49.3,17.4,17.7,30.9,26.6,27.2,33.0,48.1,49.3,34.1,32.8,65.6,-4.5,,
2020,Murray St.,OVC,30,23,102.5,98.3,0.6187,52.7,46.4,19.9,18.5,28.9,24.8,40.1,32.2,51.6,46.3,36.7,31.0,68.7,-4.8,,
2020,North Dakota St.,Sum,31,25,106.0,101.6,0.6184,51.9,49.2,14.7,14.6,22.4,19.0,33.3,26.6,51.2,49.3,35.2,32.7,65.9,-3.1,,
2020,Pepperdine,WCC,32,16,107.7,103.4,0.6163,50.0,52.8,17.4,19.0,26.9,27.8,33.0,34.7,48.4,50.3,35.1,38.1,70.9,-6.2,,
2020,Temple,Amer,31,14,99.7,95.7,0.6138,46.0,46.4,18.1,18.5,25.9,26.7,33.3,29.5,44.7,46.3,32.2,31.0,70.2,-6.5,,
2020,Texas A&M,SEC,30,16,101.2,97.4,0.6083,46.4,49.2,21.3,22.4,31.3,31.8,41.1,26.0,48.0,49.2,29.4,32.7,64.4,-3.9,,
2020,Kent St.,MAC,30,20,105.9,102.0,0.6079,52.3,48.0,18.4,19.4,30.0,30.4,28.9,34.4,53.4,46.7,33.7,33.5,68.7,-5.6,,
2020,Georgia St.,SB,30,19,105.2,101.4,0.6036,50.3,46.9,18.9,20.8,30.9,32.9,31.3,47.0,48.3,48.0,35.8,29.9,72.9,-6.6,,
2020,Penn,Ivy,26,16,103.4,99.8,0.6003,52.3,47.6,17.3,16.7,22.8,28.4,24.6,25.0,55.0,45.9,32.6,34.3,70.1,-4.5,,
2020,South Dakota St.,Sum,30,22,108.3,104.8,0.5939,55.8,48.1,18.4,15.3,28.2,27.1,32.3,26.0,57.4,49.2,35.4,30.7,68.0,-4.6,,
2020,Abilene Christian,Slnd,27,20,100.8,97.9,0.5837,49.6,50.4,20.6,26.1,28.8,29.5,41.1,48.9,51.0,52.3,31.5,30.9,68.2,-6.5,,
2020,UT Arlington,SB,30,14,101.4,98.6,0.5794,47.3,46.9,16.2,17.5,26.5,29.0,29.0,35.8,48.5,48.2,30.4,29.6,67.7,-10.3,,
2020,Santa Clara,WCC,31,19,102.8,100.1,0.578,52.2,48.7,18.7,18.9,20.8,26.5,35.9,37.8,52.1,47.2,34.9,34.5,71.5,-5.2,,
2020,Colgate,Pat,33,25,106.2,103.4,0.5762,52.8,49.8,15.7,17.3,27.9,26.3,24.9,23.8,52.1,51.4,35.7,31.4,68.3,-3.9,,
2020,Little Rock,SB,30,21,105.6,102.9,0.5745,52.8,49.0,22.1,19.6,30.1,28.7,45.3,34.4,52.9,47.3,35.1,34.5,69.1,-3.7,,
2020,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4,,
2020,Princeton,Ivy,26,14,106.7,104.1,0.5717,53.6,52.3,18.3,17.2,24.6,24.0,27.8,26.5,53.8,51.9,35.5,35.4,66.2,-7.4,,
2020,Montana,BSky,29,18,102.5,100.0,0.5709,52.3,48.7,16.9,20.5,20.1,25.4,26.1,46.3,51.4,48.0,36.4,33.6,68.2,-6.8,,
2020,FIU,CUSA,29,19,103.8,101.3,0.5685,51.7,47.9,20.4,21.3,30.2,35.5,29.3,30.5,52.1,50.6,34.1,28.6,72.2,-6.2,,
2020,California,P12,32,14,101.7,99.4,0.5646,46.9,49.9,19.2,17.3,25.1,26.3,36.0,37.0,45.5,47.0,33.5,36.3,65.0,-6.1,,
2020,Siena,MAAC,30,20,107.1,104.7,0.5636,51.8,48.4,19.2,17.2,31.9,26.0,36.3,26.9,51.0,48.7,35.5,31.8,66.8,-5.8,,
2020,Buffalo,MAC,31,20,104.1,101.8,0.5635,48.8,48.9,18.4,19.0,34.7,28.8,27.4,30.4,49.8,49.8,31.5,31.3,73.9,-5.7,,
2020,Marshall,CUSA,31,17,100.9,98.8,0.5603,50.2,46.3,19.3,20.0,27.9,32.1,28.6,37.6,51.9,44.3,31.7,33.6,74.8,-8.3,,
2020,Towson,CAA,30,18,106.3,104.2,0.5579,48.7,48.7,18.1,15.7,32.4,26.9,34.9,31.0,46.9,48.5,34.8,32.7,65.1,-6.9,,
2020,Ohio,MAC,30,17,103.6,101.6,0.5558,51.3,49.1,18.7,18.1,26.6,24.8,29.6,32.8,51.3,48.5,34.2,33.3,68.0,-8.2,,
2020,Georgia Southern,SB,31,20,101.1,99.2,0.5552,50.2,49.5,18.3,20.7,26.0,28.7,36.2,27.6,51.5,51.9,32.2,30.4,71.7,-6.6,,
2020,Eastern Washington,BSky,29,23,104.0,102.0,0.554,52.0,49.1,17.7,18.5,27.3,27.0,29.6,33.7,52.2,48.0,34.4,34.3,73.1,-2.0,,
