SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2024,Incarnate Word,Slnd,29,8,95.2,114.5,0.1071,48.2,51.8,21.7,15.1,30.0,30.0,37.1,40.7,48.3,50.2,32.0,36.7,69.9,-19.3,,
2024,Florida A&M,SWAC,27,6,91.9,110.5,0.107,47.5,51.8,21.4,16.3,26.3,31.7,28.0,39.2,46.0,51.1,34.1,35.3,68.1,-16.8,,
2024,Army,Pat,30,10,90.6,108.9,0.1069,47.1,50.3,18.9,16.6,27.0,25.5,25.4,31.6,46.5,50.6,31.8,33.2,63.0,-19.5,,
2024,Detroit,Horz,32,1,96.4,116.1,0.1049,47.3,55.9,19.4,17.3,25.9,35.2,30.3,31.9,50.4,56.1,28.1,37.1,67.0,-24.8,,
2024,Tennessee Tech,OVC,28,10,94.1,113.4,0.1045,49.0,52.5,17.8,15.4,18.9,28.1,31.0,24.6,49.2,52.7,32.3,34.8,65.6,-17.2,,
2024,Prairie View A&M,SWAC,29,10,93.0,112.3,0.103,45.6,53.7,17.7,22.6,26.5,35.2,36.9,46.6,45.6,54.1,30.4,35.2,70.8,-16.0,,
2024,Holy Cross,Pat,32,10,99.2,120.7,0.0948,50.1,53.6,16.5,12.8,23.2,28.1,25.9,30.6,48.7,50.7,35.0,38.7,65.7,-19.3,,
2024,Maryland Eastern Shore,MEAC,25,9,88.9,108.9,0.0878,43.0,50.9,20.0,18.9,28.8,33.7,32.7,37.8,43.3,51.7,28.3,33.0,67.1,-16.4,,
2024,Pacific,WCC,30,6,94.8,116.5,0.0854,46.5,56.3,16.9,16.1,18.8,33.2,37.1,36.4,46.0,58.2,31.5,35.7,68.3,-19.1,,
2024,Houston Christian,Slnd,27,6,96.5,119.3,0.0806,46.9,54.0,21.0,13.6,29.7,33.7,36.8,28.6,47.9,55.5,29.5,34.0,71.5,-17.1,,
2024,Southeast Missouri St.,OVC,27,9,90.2,111.7,0.0784,45.1,52.0,17.3,17.2,24.0,29.5,27.0,44.2,45.1,54.0,30.0,31.5,69.2,-18.3,,
2024,Lindenwood,OVC,28,9,91.3,113.5,0.0755,43.3,53.9,17.9,17.7,23.6,28.7,38.3,40.2,43.2,52.5,29.0,37.6,67.4,-18.1,,
2024,Siena,MAAC,32,4,90.1,112.2,0.0739,44.7,51.8,23.4,14.8,33.2,31.2,30.8,28.0,46.1,51.3,28.0,35.2,65.9,-23.6,,
2024,VMI,SC,29,4,87.8,110.7,0.0651,46.0,54.4,21.2,15.1,23.8,30.6,27.6,30.9,46.7,54.5,29.7,36.2,74.7,-22.6,,
2024,Stonehill,NEC,30,4,90.3,114.2,0.0629,46.7,52.7,19.5,16.6,22.5,31.0,22.6,29.4,47.9,51.7,30.1,35.9,68.1,-22.0,,
2024,St. Francis PA,NEC,28,8,93.1,118.1,0.0608,47.2,53.0,21.2,17.1,32.9,31.3,32.6,35.4,45.7,52.9,33.2,35.4,65.4,-18.6,,
2024,IUPUI,Horz,29,6,92.1,116.9,0.0607,46.5,58.2,21.3,18.5,30.0,35.5,33.2,33.4,49.5,59.0,24.7,38.0,67.3,-21.6,,
2024,Coppin St.,MEAC,29,2,85.1,111.1,0.0445,42.1,51.3,22.9,21.8,27.0,38.6,31.1,38.3,41.9,51.0,28.3,34.5,66.3,-22.9,,
2024,Mississippi Valley St.,SWAC,31,1,85.4,116.2,0.0283,42.5,55.6,24.0,17.2,27.9,35.7,33.0,41.6,41.9,55.6,29.2,37.0,64.5,-22.7,,
